#{"t_start": 1635085209.065227, "env_id": null}
r,l,t,is_success
-21.401364,100,3587.994118,0
-8.752472,14,3589.645134,0
-9.607837,26,3592.617142,1
-3.94898,20,3595.177964,1
-8.540321,30,3598.480868,1
-5.282459,20,3600.701902,1
-5.837433,17,3602.656618,1
-7.912482,29,3605.856316,1
-3.912728,15,3607.593546,1
-8.863215,10,3608.824325,0
-5.271015,17,3611.024751,1
-5.789974,21,3613.477461,1
-4.109778,14,3615.074974,1
-9.853036,24,3617.805109,1
-9.009505,22,3620.672219,1
-4.151668,20,3622.890952,1
-8.873055,24,3625.614984,1
-4.623345,16,3627.468747,1
-7.143173,20,3629.793265,1
-5.811219,18,3631.898567,1
-12.157196,46,3637.05969,1
-16.459517,46,3642.621367,1
-6.508227,22,3645.06842,1
-8.516633,30,3648.607636,1
-8.600369,27,3652.13913,1
-4.004222,19,3654.587037,1
-6.111199,22,3657.066063,1
-2.686715,14,3658.725763,1
-7.313915,27,3661.69577,1
-4.87656,17,3663.596186,1
-4.832067,19,3665.718749,1
-2.790745,15,3667.421456,1
-5.561778,22,3669.861537,1
-5.771367,21,3672.380944,1
-5.63663,17,3674.353811,1
-5.808218,19,3676.426561,1
-6.416812,21,3678.931835,1
-5.607463,22,3681.311323,1
-6.325407,18,3683.47729,1
-11.087896,35,3687.260652,1
-5.021292,16,3689.049795,1
-17.162033,52,3695.068849,1
-5.664705,19,3697.172715,1
-10.582991,25,3699.853721,1
-3.806147,16,3701.608297,1
-10.808381,36,3705.820388,1
-6.853845,26,3708.852479,1
-7.691807,28,3712.128895,1
-7.759532,22,3714.521838,1
-10.275278,27,3717.650541,1
-4.824133,19,3719.842998,1
-5.07058,17,3721.892199,1
-6.087701,24,3724.580226,1
-6.701361,21,3726.83482,1
-9.225988,31,3730.579647,1
-8.77516,23,3733.265005,1
-11.739491,37,3737.246862,1
-2.082904,11,3738.532011,1
-1.544362,10,3739.635724,1
-10.479315,31,3743.002511,1
-7.283385,26,3745.774468,1
-6.108632,19,3747.874945,1
-7.828861,28,3750.877175,1
-6.233895,25,3753.625102,1
-4.478285,14,3755.187355,1
-9.380203,33,3758.815735,1
-13.667513,57,3765.356945,1
-16.13648,45,3770.645518,1
-6.062672,24,3773.23095,1
-5.168212,22,3775.830039,1
-4.134465,21,3778.161004,1
-4.216042,14,3779.83845,1
-5.409669,21,3782.100707,1
-2.702997,13,3783.588547,1
-9.817298,23,3786.274978,1
-10.723283,37,3790.436082,1
-5.280239,19,3792.483755,1
-12.236506,34,3796.101177,1
-9.480982,23,3798.62119,1
-3.557783,16,3800.432208,1
-2.879453,14,3802.09131,1
-4.755726,20,3804.264749,1
-4.567637,14,3805.813571,1
-6.021911,24,3808.390142,1
-15.578214,73,3816.414901,1
-6.550601,20,3818.641181,1
-3.570154,18,3820.601029,1
-5.547069,21,3822.924271,1
-6.476472,20,3825.237886,1
-4.107502,16,3826.990673,1
-5.065523,18,3829.194848,1
-6.94766,20,3831.374015,1
-18.104928,100,3842.313969,0
-4.670088,18,3844.300315,1
-10.571575,34,3847.909975,1
-4.751618,18,3850.234125,1
-19.654032,100,3861.197846,0
-8.105147,21,3863.754233,1
-7.658572,29,3866.861077,1
-5.98734,17,3868.702274,1
-5.343199,21,3871.059194,1
-10.53578,38,3875.715321,1
